genes	hypoxia-01	hypoxia-02	hypoxia-03	hypoxia-04	normoxia-01	normoxia-02	normoxia-03	normoxia-04
ABLIM1	12.8380137	12.9334562	16.960421	11.2373474	10.652642	14.4525617	23.660085	27.9749685
ABLIM2	1.2435814	0.66877782	1.521116	0.7528198	0.814093	0.8395609	1.5995409	1.5394124
ABLIM3	46.50627	50.49095	54.38364	63.4559	36.32764	74.770959	96.02057	82.1098320890975
ABO	20.0333	17.76112	13.4257	11.39108	29.80744	28.17237	25.64382	30.8025
ABR	30.0752425	24.051465	25.5107823	28.796628	37.9582970646	21.598797023	28.8323991	28.2701824
ABRA	0.0901447	0.0499662	0.0178908	0.0374617	0.0687924	0.0515514	0.236849	0.101812
ABRACL	143.99928	108.848014	130.95993	103.90976	189.44949	146.1411	129.66876	145.06918
ABRAXAS1	5.980624	5.979816	7.865961	5.343372	6.425068	6.901473	8.080678	6.940303
ABRAXAS2	16.5957	16.8651	17.989	18.3483	15.0697	15.8785	14.6	14.7172
ABT1	12.1419	11.8603	10.6453	12.8302	13.3767	14.1377	14.7111	15.0447
ABTB1	10.604629	10.530596	14.906956	14.203621	15.330862	32.64217	41.01274	30.4182
ABTB2	5.84615	7.49162	4.13689	4.64429	9.46462	11.5955	9.84429	10.8499
ABTB3	6.019724	5.052467	4.5594730156985	3.281104	4.530712	1.2519639	3.0706	1.0567751
ACAA1	63.646087	83.174193	57.535251	81.510212	81.128273	127.215894	108.931612	107.616151
ACAA2	60.55378	50.286461	74.71857	65.920263	56.85582	38.833323	85.974339	85.862148
ACACA	29.19386	25.1395883	26.013937961266	29.544124	28.7205953	25.5130827	27.254792102	28.87064782
ACACB	1.50347940110987	1.5779941	1.167976	2.8047864	1.197339	3.45479	4.564537	5.812653
ACAD10	9.09416	7.138365	10.015856	8.972076	9.082799	9.56446	12.51589	11.516422
ACAD11	9.994313	13.1993547	14.786088	13.99884	9.60953	7.67187	11.08497	6.871003
ACAD8	21.59304	21.854	21.53249	20.868844	39.23164	34.70015	32.858615	38.765866
ACAD9	19.508862216	19.8401345	16.2361192	22.788236116473	19.910858	23.023498	22.918944	24.824172
ACADL	0.156914	0.0418963	0.253903	0.0356219	0.274152	0.335313	0.821968	0.704037
ACADM	27.05909637	20.823659599	24.956574523	32.79120406	34.313993906	46.81761759446	50.879784075803	48.48289524
ACADS	11.8673	11.9933	13.2378	13.9707	15.7975	13.8803	15.0658	16.306124
ACADSB	5.51939	8.66545	8.29434	8.39363	11.77909	12.33968	14.01154	12.65531
ACADVL	260.90597	287.301515	280.996753	329.866725	334.66898	321.938047	310.26047	332.559128
ACAN	0.0601014	0.110982	0.0416451	0.0478725	0	0.0115329	0.077603800769836	0.0411928
ACAP1	4.797924	3.655205	7.966105	4.2094985	1.229608	1.20931	1.89752	1.623304
ACAP2	20.074672	19.0206061	27.775297	24.5503729	14.973329	17.997723	16.845311	18.060346
ACAP3	19.5633	21.38174	23.87778	26.58125	21.53605	27.60646	23.57948	21.68739
ACAT1	12.4177733	19.512999	17.958676	17.031356	16.222433	22.360871	19.20357	15.5223103
ACAT2	51.0279	45.2064	34.0478	44.0538	42.4519	39.5171	34.0997	44.2931
ACBD3	72.571	82.3185	82.0695	76.0571	53.2217	40.5327	39.6332	40.6708
ACBD4	20.226056	25.81563	25.333858	30.867659	18.607378	22.499723	25.279411	17.866858
ACBD5	41.51492736757	45.6550109081433	41.36763569	45.9579125131575	44.9920321452	48.3227840727698	41.349313498504	46.4044117147
ACBD6	34.205024	31.834822	32.504961	33.33995	34.243064	24.493706	29.48945	26.907202
ACBD7	1.1122	0.965207	0.944287	1.10488	0.96494	1.22109	1.27578	1.53096
ACCS	2.911757	4.295018	3.80549	4.703376	6.9672	11.9426	12.636911	12.27267
ACCSL	0	0.061557257149	0	0.025908	0	0	0	0
ACD	12.4411717	11.896612	18.094292	16.734894	10.622036	10.60215	13.195775	10.593038
ACE	0.07959322	0.1819970268799	0.10914257	0.2423708	0.5017463	0.1894225	0.0963839	0.1337177
ACE2	2.7479489	2.425966	1.6076157	2.2714576	4.6371393	3.0231687	7.724611	6.4508164
ACER1	0.169862	0.0276108	0.062324	0	0.0300071	0	0.0351743	0.0643615
ACER2	42.856	71.6524	44.1058	84.6645	94.0585	239.063	101.446	153.77
ACER3	7.4471036	9.84217386	6.9492169	7.6956840323	10.710743	12.082623477611	8.6906506	12.050340300541
ACHE	3.381795	3.119442	1.748999	1.7034403	4.943675	3.109566674965	1.5933632	1.343124
ACIN1	67.66045	68.497287	71.126481	72.449788	84.898	104.743862	117.784881	117.21115
ACKR1	0	0	0	0	0	0	0	0
ACKR2	9.401894	6.15399	4.865583	6.442813	19.403143	8.571746	8.335865	9.784634
ACKR3	63.7272	92.5493	75.8016	37.53345	79.3295	74.7678	113.0017	67.9646
ACKR4	2.42138	2.86186	1.99285	1.86386	5.23667	5.52352	5.00042	6.43973
ACLY	88.28481	78.538096	70.627024	75.226228	76.253975	56.613744	54.59617	58.471038
ACMSD	0.699011	0.485991	0.147009	0.70204699	0.248091	0.73999	0.497387	1.02531
ACO1	25.518175897	27.424349769	24.98396331	29.22571	27.27237	25.19234	23.19810159	24.96265
ACO2	64.9700952	66.8133824	54.5401487	57.9127080040711	65.0435896	71.6180049	64.980831	66.7405284
ACOD1	0	0	0	0	0	0	0	0
ACOT1	1.18276	1.540217	2.46537	1.47545	2.86217	2.14859	5.19324	4.1561269
ACOT11	4.37304	5.53713	4.82504	6.40763	5.17611	9.01904	9.38739	9.85497
ACOT12	0.0531019	0	0.0196642	0.246057	0	0	0	0.0202941
ACOT13	10.94946	12.49243	12.50436	13.66551	12.20915	9.76921	10.23109	9.73352
ACOT2	12.19437	9.2941	6.264871	10.99903	14.65973	16.18952	13.626020111943	20.24154
ACOT4	2.20118	1.19251	1.74447	2.90196	3.70694	2.22895	2.7462	8.20062
ACOT6	0.135279	0.4301489	0.122068	0	0.335513	0.0346623	0.137872	0.4521419
ACOT7	33.518839	44.229648	23.263052	27.453126	30.834376	23.18801	12.0157270040791	13.516179
ACOT8	32.092695	30.644318	29.3593986	34.300916	28.224485	29.777126	27.695306	28.814901
ACOT9	40.85942	40.84781	43.91771	35.952501	38.965868	31.873109	35.926614	29.815148
ACOX1	54.414668	62.724492	63.581081	73.599966	89.825684	92.02047	78.621354	98.953732
ACOX2	0	0	0	0	0.0337869	0	0	0
ACOX3	24.854641	20.91395	17.66963	23.0686	26.954918	22.880681	32.383582	36.501724
ACOXL	4.541942	3.48701894	4.762019	9.893604	3.652195	9.172173	7.6204868	15.472931
ACP1	152.069395	190.078494	209.691408	187.457568	125.200811	128.249257	117.884739	113.32752
ACP2	21.050844	23.4841146668	17.01738	22.70534	31.02952	34.151938	31.652445	38.889732
ACP3	1.608351	0.983668	1.192849	0.962159	1.364625	1.477978	1.768261	2.2889075
ACP4	0.243183	0.177684	0.26881	0.301549	0.356177	0.0711828	0.340977	0.0694223
ACP5	16.1613727159	20.8891605	9.68759790292878	16.5812470038784	13.8246	8.6800851	4.20365	6.3190207
ACP6	33.03847	28.02259	31.059174	37.44335	31.10016	24.336141	29.85007	41.89096
ACP7	1.892723	1.0796076	1.199556	1.31291	1.2835086	0.77036	1.0510307	1.2764655
ACR	0.374273	0.351218	0.585028	0.771739	0.691497	0.0328261	0.0698983	0.0320206
ACRBP	0.9926585	0.465315	2.263307	2.037971	0.944095	0.6331011	0.5910166	0.419852
ACRV1	0.0660321	0	0	0.0240808	0.0454751	0	0.0241732	0.0745403
ACSBG1	0.873673	0.5674283	1.267001	1.0313228	0.4573494	0.929909	0.769597	0.7998294
ACSBG2	0.397551	0.1116209	0.1540614	0.302774	0.8298152	0.2549568	0.3240217	0.166504
ACSF2	173.932744	178.513138	201.364885	240.958519	144.592586	245.800257	293.41054	211.690913
ACSF3	20.7654904	25.0177513	24.3020558	21.1714485	18.1707933092	22.671304	28.222949	27.370757
ACSL1	189.6398337	165.095267	175.67423	188.968014	120.54960668	91.249905	94.512521	115.81291
ACSL3	80.997329	93.82742645437	103.982837992	99.9738438	90.478292	74.7774705	65.024776	58.7599004
ACSL4	31.1294140006397	25.9229712	32.46234	29.235385	29.0875236	25.2554288985	29.362177	29.959772
ACSL5	30.557599	48.757237	25.9099297	53.074162	65.099656	141.277287	84.050828	158.317941
ACSL6	0.103399	0.818603	0.18457671	0.1842149	0.0590364	0.23868124	0.1789893	0.16723925
ACSM1	1.5451301	2.3818495003731	1.30146600078834	1.51169300030766	0.56863400024387	1.343727	1.64721900149203	0.89268540210376
ACSM2A	0.151968	0	0.114779	0	0.0188143	0.0424455	0	0
ACSM2B	1.763113	1.225316	0.976522	1.5147945	1.7923381	1.409884	1.5038871	1.6860321
ACSM3	4.708056	4.931846	3.669816	3.231323	6.430237	6.2083064	7.429177	11.121397
ACSM4	0.0154233	0.075471	0	0.0384955	0.0164647	0.0724886	0.0965646	0.053088
ACSM5	0.114445	0.11054	0	0.280489	0.0606879	0.19956	0	0
ACSM6	0.311223	0.5053694	0.186545	0.1912054	0.5172637	0.261103	0.487008	0.606512
ACSS1	1.822857	1.797229	4.542546	5.39117	2.510885	4.215703	4.368157	9.4472098
ACSS2	25.8950973	30.9783242746	25.978309	30.803783	29.247209	30.8737320162653	30.86324	37.883602
ACSS3	0.417168	0.9387894	0.2265156	0.03335694	0.75656	0.8814878	0.7789992	0.34855
ACTA1	0.1071815	0.2041717	0.162654	0.0966183	0.4519666	0.53678733128	0.6112155	0.2852693
ACTA2	35.72259	27.36973	28.646403	24.16962	16.86632	7.92679	12.63957	4.4494851914
ACTB	2974.125235	2403.619383	1894.9914602	2202.682537	2418.762441	1765.863624	1978.8400725	1736.8008695
ACTBL2	0.772627	0.396998	0.408876	0.0791273	3.13819	0.670143	0.603211	0.392721
ACTC1	0	0	0	0	0	0.0342788	0	0
ACTG1	1985.311965	1719.3821855	1253.0914986	1558.9191422	1914.3968651	1495.6462167	1454.113157	1500.8061513
ACTG2	0.429137	0.027733	0.031788014357	0	0.694699	0.034047	0.071263693	0.0325073
ACTL10	1.20865	1.08325	0.737838	1.59439	2.60335	4.39578	5.14324	6.06682
ACTL6A	51.9626061	59.007444	72.0703514	68.21821	41.322834	48.051191	54.17978	50.2031474
ACTL6B	0	0	0.0286363	0.0321287	0	0	0	0
ACTL7A	0	0	0	0.0990373	0	0	0	0
ACTL7B	0	0	0	0	0	0	0	0
ACTL8	0	0	0	0	0	0	0	0
ACTL9	0.0866806	0	0	0	0	0	0	0
ACTMAP	8.398894	6.0648007	9.599569	7.508306	4.671368	4.8504834	5.541891	5.631101
ACTN1	175.6440032	85.6719293	72.599085	61.454856	213.2526587	66.635056	89.750603	71.3891
ACTN2	0	0.0147876	0	0	0	0	0	0.0427858
ACTN3	0.0680661	0	0.0817204	0.0305758	0.0261312	0	0	0
ACTN4	328.540568	307.83308	276.873666	333.689995	333.622326	311.410221	370.313007	359.28535
ACTR10	59.6539644705	64.234244	66.280563	70.740235	61.520415	57.456012	59.088142	60.523664
ACTR1A	88.303071	84.526988	75.410644	85.058859	91.921445	76.113553	69.118588	68.121425
ACTR1B	52.8903	60.5619	64.798	66.1791	50.2326	58.111	68.407	64.8309
ACTR2	246.788631	257.765335	249.859908	255.494713	259.840064	258.31685	242.196116	239.198223
ACTR3	164.07823	163.83353	146.20717	149.676462	188.785823	163.61402	167.074198	164.821404
ACTR3B	16.786428	11.844801	12.25008	5.941649	26.57482	9.584568	10.049266	7.611246
ACTR3C	4.325827	3.948549	3.234549	3.817326	6.207054	7.339621	5.410702	8.342461
ACTR5	2.89663	3.04828	6.46084	4.84609	2.94269	4.35105	5.24926	4.79368
ACTR6	31.9797528	34.32436	35.43401043	35.476796	35.11967	37.393162	42.209723594797	37.043227
ACTR8	18.631699	17.116766	18.105931	15.650217	16.727326	16.279375	17.967189	18.16779
ACTRT1	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0
ACTRT3	1.59235	1.05903	0.588412	0.861173	3.12525	2.00295	1.64322	1.9546
ACVR1	14.7263106941496	13.229562	16.7178146132	13.547841	14.9432795190509	11.08908007	13.3707310018811	11.7246096
ACVR1B	11.145813	11.373921	14.4207198	12.4699021	14.592892	14.497478	18.8126104	15.9154215
ACVR1C	0.2128578166901	0.231382	0.0944542	0.120279	0.168553	0.0521482	0.0231772	0.0904078
ACVR2A	9.21237	12.01018	11.965156	14.9332	10.09943	19.5626	18.712966	20.8968
ACVR2B	1.89547	1.9471	2.48521	2.30981	1.94246	1.86371	2.14771	2.34877
ACVRL1	0.271085000160211	0.45939600149728	0.4780540040779	0.31051490081325	0.4251927139	0.287052000270894	0.35702670356303	0.4341480114033
ACY1	14.545505	18.64506243	13.0905082883	20.333852	24.776346558	31.87706	25.455623329293	27.2857678429
ACY3	0.266139	0.0971966	0.490468	0.0617153	0.126011	0.13852	0.8702037	1.31726
ACYP1	20.37683	31.2774817	43.72992	31.611564	17.961396	25.718144	31.361187	22.216427
ACYP2	15.52676	17.803171	15.159357	19.398755	18.144282	20.337823	19.203613	20.180307
ADA	14.6434204	14.1190064	10.0336004382917	13.9381145696295	14.79194	6.4464039	5.0994646	5.5960327
ADA2	31.4055467	3.8354768	9.1724938	13.4813813	29.5229988	2.6206327	12.1693712	16.0527864
ADAD1	0	0	0	0	0	0	0	0
ADAD2	0.2822717	0.735498	0.3309847	0.793291	0.4960554	0.3686632	0.456999	1.061529
ADAL	4.956449	5.318769	6.359295	6.9075913	3.76260164	2.135661	4.21457	2.671969
ADAM10	308.51989	381.801638	387.141924	356.039155	325.2802	393.74498	422.658145	400.90185
ADAM11	0.20425996	0.205001	0.2612016909367	0.21171	0.1101756	0.0871191	0.17338342	0.1464333
ADAM12	0.1156342	0.2135439	0.1131093	0.1240578	0.3665354	0.2033963	0.3393675	0.2798585
ADAM15	86.908519291	109.3401313	81.321624	90.945867	68.745498	83.242895	80.245856	68.581798
ADAM17	28.5431761001255	37.4963310009345	35.606779	36.4303829	28.923168	28.2565084	25.557175	25.3161731
ADAM18	0	0	0	0.181239	0	0	0	0
ADAM19	21.3666767	19.567708	5.4006267	7.496061	29.8471605	7.4943	4.6012291	7.16327
ADAM2	0.2425	0.107138	0.577373	2.016438	0	0.0203432	0.0216768	0.0397234
ADAM20	0.16531404	0.07473017	0.18400798	0	0.12221847	0.10465754	0.063751	0.05840828
ADAM21	0.45173	0.1713613	0.280607	0.269007	0.365533	0.0779011	0.193779	0.123633
ADAM22	1.3434904	1.3998251	2.4294278	2.0118908	1.9046365	2.079917312	1.5044687	1.7074143
ADAM23	0.2746587	1.028133	0	0.739557	1.582501	1.073068	0.01639891	0.686783
ADAM28	27.699892	32.461937	27.771533	15.836375	55.07729	40.900484	44.689535	30.2564
ADAM29	0.0357706	0.0116816	0	0	0	0	0	0
ADAM30	0	0	0	0	0	0	0.0147579	0
ADAM32	1.543571	0.352129	1.929469	0.6388194	1.166573	1.9104834	0.7696106	0.8595
ADAM33	0.080689500246641	0.10868100268856	0.2366660111197	0.1009680034177	0.1303490076486	0.165856000721256	0.3086000242551	0.3145910380955
ADAM7	0	0	0	0	0.0604103	0.012147206	0	0
ADAM8	18.955153	20.338294	18.657297	19.727663	22.723194	10.8042231	7.485925	10.061031
ADAM9	406.812323	486.773936733021	425.8500319	422.827537659267	375.6957613429	415.355630153341	365.288987441012	301.232138000354
ADAMDEC1	0.0194957	0.038112	0	0.0242876	0	0	0.0243812	0
ADAMTS1	9.3612610505527	4.736904999627	5.134394092674	3.663740756245	8.98683014971121	0.9977921241358	0.930774387004	0.872634577768
ADAMTS10	0.179674600211087	0.115672190932163	0.101398	0.078799036264	0.32044840480737	0.0857351	0.170471	0.08134450286442
ADAMTS12	0	0.00749104	0	0	0.0122341	0.00449326	0	0
ADAMTS13	7.549728	5.821469	6.9524324454607	5.75210227134066	4.6968092	5.4245902016061	7.466854	5.0653771344
ADAMTS14	0.2603948	0.2991753	0.0283498	0.151181	0.0898375	0.0673059	0.00797543	0.0365407
ADAMTS15	0.962234	0.450562	0.703752	0.353468	3.45261	2.59867	3.42449	4.35371
ADAMTS16	0.5306299	0.53237	0.628904	0.3654648	0.4264223	0.4300801	0.3919788	0.3821577
ADAMTS17	0.2531928	0.0893142	0.2399483	0.1405784	0.103436	0.108939	0.0136406	0.0243993
ADAMTS18	0.0342188	0.0335883	0.00636601	0.0071471	0.0121937	0	0.0214896	0
ADAMTS19	0.0579537	0.1364543	0.2001779	0.129073	0.583753	0.0606571	0.0323439	0.36383
ADAMTS2	0.22333979	0.10395873	0.169108	0.1714672	0.2301108	0.174242	0.222897	0.218642
ADAMTS20	0	0	0.00581502	0	0	0	0	0
ADAMTS3	0.00530847	0.0156338	0	0.0133073	0.0113505	0.0187569	0.0133367	0.0122209
ADAMTS4	0.208314	0.18801	0.26723	0.196974	0.207516	0.181615	0.263142	0.322814
ADAMTS5	0.1534125	0.0940042	0.0189052	0.059979245	0.3995318	0.2481953	0.14888	0.110217
ADAMTS6	0.910172	0.703526	0.3055248	0.3573397	1.041256	0.4812335	0.465761	0.271856
ADAMTS7	5.8822	5.52399	4.98615	7.43101	6.20395	4.17887	3.40136	3.79857
ADAMTS8	0.0189746	0.0465085	0.0105741	0.0949602	0.0202733	0.0446522	0.023804	0.0327179
ADAMTS9	0.5935764	0.578058	1.956808	0.4906988	1.2871636	1.617551	0.4276019	0.98051300202385
ADAMTSL1	0	0	0.0893612	0	0.0258906	0	0.10118	0.1345327
ADAMTSL2	0.0437904	0.101693	0.0206838	0.052812	0.0343318	0.0804423	0.076909	0.122171
ADAMTSL3	0.0144003	0	0.0107199	0	0.0205286	0	0	0
